flags_file,plot,ensemble_anomalies
flags_performance_SEG-61678_multi.csv,diagnostics_crisp_performance_SEG-61678.png,3
flags_quality_PRD-10061_multi.csv,diagnostics_crisp_quality_PRD-10061.png,3
flags_performance_ADV-19204_multi.csv,diagnostics_crisp_performance_ADV-19204.png,1
flags_behavior_ACC-48555_multi.csv,diagnostics_crisp_behavior_ACC-48555.png,2
flags_opportunity_CL-15489_multi.csv,diagnostics_crisp_opportunity_CL-15489.png,3
flags_behavior_ACC-78042_multi.csv,diagnostics_crisp_behavior_ACC-78042.png,3
flags_opportunity_CL-80607_multi.csv,diagnostics_crisp_opportunity_CL-80607.png,2
flags_behavior_SEG-60616_multi.csv,diagnostics_crisp_behavior_SEG-60616.png,3
flags_performance_ACC-79255_multi.csv,diagnostics_crisp_performance_ACC-79255.png,3
flags_risk_SEG-67873_multi.csv,diagnostics_crisp_risk_SEG-67873.png,2
flags_quality_ACC-43291_multi.csv,diagnostics_crisp_quality_ACC-43291.png,2
flags_quality_SEG-58322_multi.csv,diagnostics_crisp_quality_SEG-58322.png,4
flags_quality_SEG-41852_multi.csv,diagnostics_crisp_quality_SEG-41852.png,3
flags_opportunity_ADV-59212_multi.csv,diagnostics_crisp_opportunity_ADV-59212.png,1
flags_opportunity_ACC-46459_multi.csv,diagnostics_crisp_opportunity_ACC-46459.png,3
flags_risk_PRD-70940_multi.csv,diagnostics_crisp_risk_PRD-70940.png,5
flags_performance_CL-83370_multi.csv,diagnostics_crisp_performance_CL-83370.png,2
flags_behavior_ACC-93924_multi.csv,diagnostics_crisp_behavior_ACC-93924.png,5
flags_performance_PRD-25465_multi.csv,diagnostics_crisp_performance_PRD-25465.png,2
flags_risk_ADV-18759_multi.csv,diagnostics_crisp_risk_ADV-18759.png,4
flags_opportunity_CL-93158_multi.csv,diagnostics_crisp_opportunity_CL-93158.png,3
flags_behavior_ACC-40624_multi.csv,diagnostics_crisp_behavior_ACC-40624.png,3
flags_behavior_ADV-71602_multi.csv,diagnostics_crisp_behavior_ADV-71602.png,1
flags_quality_CL-90683_multi.csv,diagnostics_crisp_quality_CL-90683.png,3
flags_opportunity_SEG-19620_multi.csv,diagnostics_crisp_opportunity_SEG-19620.png,2
flags_opportunity_SEG-19736_multi.csv,diagnostics_crisp_opportunity_SEG-19736.png,3
flags_quality_CL-95206_multi.csv,diagnostics_crisp_quality_CL-95206.png,1
flags_behavior_CL-28585_multi.csv,diagnostics_crisp_behavior_CL-28585.png,1
flags_behavior_CL-68535_multi.csv,diagnostics_crisp_behavior_CL-68535.png,1
flags_performance_SEG-12573_multi.csv,diagnostics_crisp_performance_SEG-12573.png,2
flags_risk_PRD-73808_multi.csv,diagnostics_crisp_risk_PRD-73808.png,4
flags_quality_CL-30643_multi.csv,diagnostics_crisp_quality_CL-30643.png,3
flags_quality_ACC-40102_multi.csv,diagnostics_crisp_quality_ACC-40102.png,5
flags_behavior_ADV-37488_multi.csv,diagnostics_crisp_behavior_ADV-37488.png,5
flags_performance_CL-71033_multi.csv,diagnostics_crisp_performance_CL-71033.png,3
flags_risk_CL-34890_multi.csv,diagnostics_crisp_risk_CL-34890.png,4
flags_quality_ACC-51324_multi.csv,diagnostics_crisp_quality_ACC-51324.png,3
flags_quality_PRD-65149_multi.csv,diagnostics_crisp_quality_PRD-65149.png,3
flags_behavior_ADV-16858_multi.csv,diagnostics_crisp_behavior_ADV-16858.png,3
flags_behavior_ADV-10071_multi.csv,diagnostics_crisp_behavior_ADV-10071.png,1
flags_behavior_PRD-68644_multi.csv,diagnostics_crisp_behavior_PRD-68644.png,2
flags_behavior_ADV-37984_multi.csv,diagnostics_crisp_behavior_ADV-37984.png,5
flags_performance_SEG-94126_multi.csv,diagnostics_crisp_performance_SEG-94126.png,5
flags_performance_SEG-88907_multi.csv,diagnostics_crisp_performance_SEG-88907.png,3
flags_risk_ADV-60661_multi.csv,diagnostics_crisp_risk_ADV-60661.png,5
flags_performance_PRD-42294_multi.csv,diagnostics_crisp_performance_PRD-42294.png,2
flags_behavior_CL-49767_multi.csv,diagnostics_crisp_behavior_CL-49767.png,4
flags_risk_ACC-67741_multi.csv,diagnostics_crisp_risk_ACC-67741.png,4
flags_performance_CL-69222_multi.csv,diagnostics_crisp_performance_CL-69222.png,4
flags_opportunity_PRD-25270_multi.csv,diagnostics_crisp_opportunity_PRD-25270.png,4
flags_performance_CL-76563_multi.csv,diagnostics_crisp_performance_CL-76563.png,4
flags_behavior_SEG-11255_multi.csv,diagnostics_crisp_behavior_SEG-11255.png,5
flags_quality_PRD-45362_multi.csv,diagnostics_crisp_quality_PRD-45362.png,2
flags_risk_SEG-85623_multi.csv,diagnostics_crisp_risk_SEG-85623.png,3
flags_performance_PRD-63746_multi.csv,diagnostics_crisp_performance_PRD-63746.png,4
flags_quality_ACC-20905_multi.csv,diagnostics_crisp_quality_ACC-20905.png,3
flags_opportunity_PRD-27166_multi.csv,diagnostics_crisp_opportunity_PRD-27166.png,4
flags_performance_ADV-24146_multi.csv,diagnostics_crisp_performance_ADV-24146.png,2
flags_quality_CL-91674_multi.csv,diagnostics_crisp_quality_CL-91674.png,3
flags_behavior_SEG-43852_multi.csv,diagnostics_crisp_behavior_SEG-43852.png,3
flags_behavior_ACC-75506_multi.csv,diagnostics_crisp_behavior_ACC-75506.png,2
flags_risk_ADV-48129_multi.csv,diagnostics_crisp_risk_ADV-48129.png,4
flags_quality_ADV-50790_multi.csv,diagnostics_crisp_quality_ADV-50790.png,2
