insight_type,target_key,run_id,insight_date_time
performance,CL-69294,RUN-2024W37-001,2024-09-09 06:32:00
performance,CL-69294,RUN-2024W38-001,2024-09-16 06:38:00
performance,CL-69294,RUN-2024W38-001,2024-09-16 06:01:00
performance,CL-69294,RUN-2024W39-002,2024-09-23 06:07:00
performance,CL-69294,RUN-2024W39-003,2024-09-23 06:39:00
performance,CL-69294,RUN-2024W40-001,2024-09-30 06:16:00
performance,CL-69294,RUN-2024W41-001,2024-10-07 06:19:00
performance,CL-69294,RUN-2024W44-001,2024-10-28 06:39:00
performance,CL-69294,RUN-2024W44-002,2024-10-28 06:10:00
performance,CL-69294,RUN-2024W44-002,2024-10-28 06:28:00
performance,CL-69294,RUN-2024W45-002,2024-11-04 06:20:00
performance,CL-69294,RUN-2024W48-001,2024-11-25 06:16:00
performance,CL-69294,RUN-2024W49-001,2024-12-02 06:27:00
performance,CL-69294,RUN-2024W50-001,2024-12-09 06:24:00
performance,CL-69294,RUN-2024W51-001,2024-12-16 06:20:00
performance,CL-69294,RUN-2024W52-002,2024-12-23 06:08:00
performance,CL-69294,RUN-2025W02-003,2025-01-06 06:02:00
performance,CL-69294,RUN-2025W04-001,2025-01-20 06:17:00
performance,CL-69294,RUN-2025W04-002,2025-01-20 06:28:00
performance,CL-69294,RUN-2025W05-002,2025-01-27 06:13:00
performance,CL-69294,RUN-2025W08-003,2025-02-17 06:40:00
performance,CL-69294,RUN-2025W09-002,2025-02-24 06:43:00
performance,CL-69294,RUN-2025W11-002,2025-03-10 06:39:00
performance,CL-69294,RUN-2025W13-001,2025-03-24 06:04:00
performance,CL-69294,RUN-2025W13-001,2025-03-24 06:38:00
performance,CL-69294,RUN-2025W15-002,2025-04-07 06:45:00
performance,CL-69294,RUN-2025W23-002,2025-06-02 06:22:00
performance,CL-69294,RUN-2025W26-001,2025-06-23 06:36:00
performance,CL-69294,RUN-2025W26-002,2025-06-23 06:08:00
performance,CL-69294,RUN-2025W27-001,2025-06-30 06:12:00
performance,CL-69294,RUN-2025W28-001,2025-07-07 06:17:00
performance,CL-69294,RUN-2025W29-001,2025-07-14 06:09:00
performance,CL-69294,RUN-2025W29-002,2025-07-14 06:07:00
performance,CL-69294,RUN-2025W30-003,2025-07-21 06:40:00
performance,CL-69294,RUN-2025W31-002,2025-07-28 06:40:00
performance,CL-69294,RUN-2025W36-001,2025-09-01 06:43:00
performance,CL-83370,RUN-2024W37-002,2024-09-09 06:30:00
performance,CL-83370,RUN-2024W38-001,2024-09-16 06:45:00
performance,CL-83370,RUN-2024W42-003,2024-10-14 06:30:00
performance,CL-83370,RUN-2024W43-001,2024-10-21 06:02:00
performance,CL-83370,RUN-2024W43-002,2024-10-21 06:17:00
performance,CL-83370,RUN-2024W43-003,2024-10-21 06:44:00
performance,CL-83370,RUN-2024W44-001,2024-10-28 06:39:00
performance,CL-83370,RUN-2024W46-001,2024-11-11 06:44:00
performance,CL-83370,RUN-2025W01-003,2024-12-30 06:26:00
performance,CL-83370,RUN-2025W02-002,2025-01-06 06:08:00
performance,CL-83370,RUN-2025W02-003,2025-01-06 06:12:00
performance,CL-83370,RUN-2025W02-003,2025-01-06 06:24:00
performance,CL-83370,RUN-2025W03-003,2025-01-13 06:41:00
performance,CL-83370,RUN-2025W04-002,2025-01-20 06:21:00
performance,CL-83370,RUN-2025W07-001,2025-02-10 06:41:00
performance,CL-83370,RUN-2025W08-003,2025-02-17 06:41:00
performance,CL-83370,RUN-2025W09-001,2025-02-24 06:13:00
performance,CL-83370,RUN-2025W17-002,2025-04-21 06:05:00
performance,CL-83370,RUN-2025W19-002,2025-05-05 06:20:00
performance,CL-83370,RUN-2025W21-002,2025-05-19 06:01:00
performance,CL-83370,RUN-2025W27-001,2025-06-30 06:05:00
performance,CL-83370,RUN-2025W28-003,2025-07-07 06:21:00
performance,CL-83370,RUN-2025W29-002,2025-07-14 06:17:00
performance,CL-83370,RUN-2025W31-001,2025-07-28 06:13:00
performance,CL-71033,RUN-2024W37-001,2024-09-09 06:02:00
performance,CL-71033,RUN-2024W37-003,2024-09-09 06:21:00
performance,CL-71033,RUN-2024W37-002,2024-09-09 06:08:00
performance,CL-71033,RUN-2024W39-003,2024-09-23 06:33:00
performance,CL-71033,RUN-2024W40-003,2024-09-30 06:43:00
performance,CL-71033,RUN-2024W40-003,2024-09-30 06:31:00
performance,CL-71033,RUN-2024W40-001,2024-09-30 06:05:00
performance,CL-71033,RUN-2024W41-003,2024-10-07 06:33:00
performance,CL-71033,RUN-2024W42-003,2024-10-14 06:35:00
performance,CL-71033,RUN-2024W43-003,2024-10-21 06:33:00
performance,CL-71033,RUN-2024W44-002,2024-10-28 06:35:00
performance,CL-71033,RUN-2024W45-002,2024-11-04 06:42:00
performance,CL-71033,RUN-2024W45-001,2024-11-04 06:39:00
performance,CL-71033,RUN-2024W46-003,2024-11-11 06:09:00
performance,CL-71033,RUN-2024W46-003,2024-11-11 06:17:00
performance,CL-71033,RUN-2024W47-002,2024-11-18 06:12:00
performance,CL-71033,RUN-2024W47-003,2024-11-18 06:07:00
performance,CL-71033,RUN-2024W47-002,2024-11-18 06:38:00
performance,CL-71033,RUN-2024W48-001,2024-11-25 06:34:00
performance,CL-71033,RUN-2024W49-003,2024-12-02 06:25:00
performance,CL-71033,RUN-2024W49-001,2024-12-02 06:36:00
performance,CL-71033,RUN-2024W50-003,2024-12-09 06:05:00
performance,CL-71033,RUN-2024W50-003,2024-12-09 06:04:00
performance,CL-71033,RUN-2024W50-002,2024-12-09 06:26:00
performance,CL-71033,RUN-2024W51-002,2024-12-16 06:15:00
performance,CL-71033,RUN-2024W52-002,2024-12-23 06:08:00
performance,CL-71033,RUN-2024W52-003,2024-12-23 06:30:00
performance,CL-71033,RUN-2024W52-001,2024-12-23 06:06:00
performance,CL-71033,RUN-2025W01-001,2024-12-30 06:39:00
performance,CL-71033,RUN-2025W01-003,2024-12-30 06:08:00
performance,CL-71033,RUN-2025W01-001,2024-12-30 06:01:00
performance,CL-71033,RUN-2025W02-001,2025-01-06 06:09:00
performance,CL-71033,RUN-2025W02-002,2025-01-06 06:43:00
performance,CL-71033,RUN-2025W03-001,2025-01-13 06:22:00
performance,CL-71033,RUN-2025W03-001,2025-01-13 06:31:00
performance,CL-71033,RUN-2025W03-001,2025-01-13 06:37:00
performance,CL-71033,RUN-2025W04-003,2025-01-20 06:32:00
performance,CL-71033,RUN-2025W04-001,2025-01-20 06:45:00
performance,CL-71033,RUN-2025W04-002,2025-01-20 06:33:00
performance,CL-71033,RUN-2025W04-003,2025-01-20 06:24:00
performance,CL-71033,RUN-2025W05-003,2025-01-27 06:33:00
performance,CL-71033,RUN-2025W05-001,2025-01-27 06:34:00
performance,CL-71033,RUN-2025W06-003,2025-02-03 06:40:00
performance,CL-71033,RUN-2025W06-003,2025-02-03 06:13:00
performance,CL-71033,RUN-2025W07-003,2025-02-10 06:34:00
performance,CL-71033,RUN-2025W07-001,2025-02-10 06:08:00
