insight_id,insight_type,target_type,target_key,metric name,metric_type,metric_value,run_id,insight_date_time,insights_category
INS-00000001,performance,client,CL-52445,insight_hit,event,1,RUN-20240911-001,2024-09-11 11:05:14,CIO
INS-00000002,performance,client,CL-52445,insight_hit,event,1,RUN-20240918-002,2024-09-18 15:12:21,Compliance
INS-00000003,performance,client,CL-52445,insight_hit,event,1,RUN-20240918-001,2024-09-18 19:57:39,Compliance
INS-00000004,performance,client,CL-52445,insight_hit,event,1,RUN-20240919-001,2024-09-19 20:22:51,Cross-Sell
INS-00000005,performance,client,CL-52445,insight_hit,event,1,RUN-20240919-004,2024-09-19 21:07:58,Cross-Sell
INS-00000006,performance,client,CL-52445,insight_hit,event,1,RUN-20240920-004,2024-09-20 22:48:12,CIO
INS-00000007,performance,client,CL-52445,insight_hit,event,1,RUN-20240927-003,2024-09-27 13:50:40,SoW
INS-00000008,performance,client,CL-52445,insight_hit,event,1,RUN-20240930-004,2024-09-30 23:25:29,Retention
INS-00000009,performance,client,CL-52445,insight_hit,event,1,RUN-20241002-002,2024-10-02 02:46:10,CIO
INS-00000010,performance,client,CL-52445,insight_hit,event,1,RUN-20241008-004,2024-10-08 00:09:37,Cross-Sell
INS-00000011,performance,client,CL-52445,insight_hit,event,1,RUN-20241009-005,2024-10-09 20:09:39,Compliance
INS-00000012,performance,client,CL-52445,insight_hit,event,1,RUN-20241010-002,2024-10-10 21:59:22,Engagement
INS-00000013,performance,client,CL-52445,insight_hit,event,1,RUN-20241012-001,2024-10-12 17:08:01,Cross-Sell
INS-00000014,performance,client,CL-52445,insight_hit,event,1,RUN-20241013-005,2024-10-13 23:41:06,Retention
INS-00000015,performance,client,CL-52445,insight_hit,event,1,RUN-20241014-002,2024-10-14 04:27:55,Cross-Sell
INS-00000016,performance,client,CL-52445,insight_hit,event,1,RUN-20241016-002,2024-10-16 06:01:16,BGap
INS-00000017,performance,client,CL-52445,insight_hit,event,1,RUN-20241022-005,2024-10-22 16:15:48,BGap
INS-00000018,performance,client,CL-52445,insight_hit,event,1,RUN-20241023-002,2024-10-23 08:34:26,SoW
INS-00000019,performance,client,CL-52445,insight_hit,event,1,RUN-20241025-004,2024-10-25 23:22:57,Retention
INS-00000020,performance,client,CL-52445,insight_hit,event,1,RUN-20241027-005,2024-10-27 18:52:57,Compliance
INS-00000021,performance,client,CL-52445,insight_hit,event,1,RUN-20241030-002,2024-10-30 16:08:34,Engagement
INS-00000022,performance,client,CL-52445,insight_hit,event,1,RUN-20241031-004,2024-10-31 16:01:55,Cross-Sell
