insight_id,insight_type,target_type,target_key,metric name,metric_type,metric_value,run_id,insight_date_time,insights_category
INS-00000001,performance,client,CL-69294,insight_hit,event,1,RUN-2024W37-001,2024-09-09 06:32:00,BGap
INS-00000002,performance,client,CL-69294,insight_hit,event,1,RUN-2024W38-001,2024-09-16 06:38:00,Compliance
INS-00000003,performance,client,CL-69294,insight_hit,event,1,RUN-2024W38-001,2024-09-16 06:01:00,Retention
INS-00000004,performance,client,CL-69294,insight_hit,event,1,RUN-2024W39-002,2024-09-23 06:07:00,Cross-Sell
INS-00000005,performance,client,CL-69294,insight_hit,event,1,RUN-2024W39-003,2024-09-23 06:39:00,Compliance
INS-00000006,performance,client,CL-69294,insight_hit,event,1,RUN-2024W40-001,2024-09-30 06:16:00,BGap
INS-00000007,performance,client,CL-69294,insight_hit,event,1,RUN-2024W41-001,2024-10-07 06:19:00,Retention
INS-00000008,performance,client,CL-69294,insight_hit,event,1,RUN-2024W44-001,2024-10-28 06:39:00,Engagement
INS-00000009,performance,client,CL-69294,insight_hit,event,1,RUN-2024W44-002,2024-10-28 06:10:00,Retention
INS-00000010,performance,client,CL-69294,insight_hit,event,1,RUN-2024W44-002,2024-10-28 06:28:00,CIO
INS-00000011,performance,client,CL-69294,insight_hit,event,1,RUN-2024W45-002,2024-11-04 06:20:00,Retention
INS-00000012,performance,client,CL-69294,insight_hit,event,1,RUN-2024W48-001,2024-11-25 06:16:00,Retention
INS-00000013,performance,client,CL-69294,insight_hit,event,1,RUN-2024W49-001,2024-12-02 06:27:00,CIO
INS-00000014,performance,client,CL-69294,insight_hit,event,1,RUN-2024W50-001,2024-12-09 06:24:00,Engagement
INS-00000015,performance,client,CL-69294,insight_hit,event,1,RUN-2024W51-001,2024-12-16 06:20:00,CIO
INS-00000016,performance,client,CL-69294,insight_hit,event,1,RUN-2024W52-002,2024-12-23 06:08:00,BGap
INS-00000017,performance,client,CL-69294,insight_hit,event,1,RUN-2025W02-003,2025-01-06 06:02:00,SoW
INS-00000018,performance,client,CL-69294,insight_hit,event,1,RUN-2025W04-001,2025-01-20 06:17:00,SoW
INS-00000019,performance,client,CL-69294,insight_hit,event,1,RUN-2025W04-002,2025-01-20 06:28:00,BGap
INS-00000020,performance,client,CL-69294,insight_hit,event,1,RUN-2025W05-002,2025-01-27 06:13:00,Compliance
INS-00000021,performance,client,CL-69294,insight_hit,event,1,RUN-2025W08-003,2025-02-17 06:40:00,Compliance
INS-00000022,performance,client,CL-69294,insight_hit,event,1,RUN-2025W09-002,2025-02-24 06:43:00,Retention
INS-00000023,performance,client,CL-69294,insight_hit,event,1,RUN-2025W11-002,2025-03-10 06:39:00,BGap
INS-00000024,performance,client,CL-69294,insight_hit,event,1,RUN-2025W13-001,2025-03-24 06:04:00,BGap
INS-00000025,performance,client,CL-69294,insight_hit,event,1,RUN-2025W13-001,2025-03-24 06:38:00,Retention
INS-00000026,performance,client,CL-69294,insight_hit,event,1,RUN-2025W15-002,2025-04-07 06:45:00,Engagement
INS-00000027,performance,client,CL-69294,insight_hit,event,1,RUN-2025W23-002,2025-06-02 06:22:00,Retention
INS-00000028,performance,client,CL-69294,insight_hit,event,1,RUN-2025W26-001,2025-06-23 06:36:00,Retention
INS-00000029,performance,client,CL-69294,insight_hit,event,1,RUN-2025W26-002,2025-06-23 06:08:00,Compliance
